sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,sample_type,nucleotide_type,collection_location,host_genome,notes
RR034H_110_nsbRa_S108,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,3431.0,343206,119794,34.904,55464,1.0,85.34,1.28,194842,194340,166278,129474,nasopharyngeal swab,RNA,"Toamasina, Madagascar",Human,""
RR034H_111_nsbRa_S109,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,6755.0,1106362,550536,49.761,42148,1.0,84.624,1.25,866478,866098,733246,584702,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_112_nsbRa_S110,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,7842.0,2382078,995358,41.785,208982,1.0,83.399,1.63,2044492,2044180,1705090,1045614,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_113_nsbRa_S111,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,6149.0,648872,243692,37.556,32958,1.0,85.334,1.23,401228,400970,342384,278478,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_114_nsbRa_S112,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,7845.0,1113574,717596,64.441,7822,1.0,85.747,1.2,1046812,1046722,897608,746880,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_115_nsbRa_S113,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,7857.0,5808872,997708,17.176,1743520,1.0,80.54,3.1,3918164,3917974,3155690,1019058,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_116_nsbRa_S114,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,6170.0,1498026,565168,37.728,357804,1.0,84.704,1.46,1011454,1011026,856738,588188,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_117_nsbRa_S115,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,8079.0,4595054,1250680,27.218,610730,1.0,83.57,2.63,3981606,3981464,3327440,1267416,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_118_nsbRa_S116,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,7404.0,1301190,699972,53.795,680,1.0,85.913,1.59,1299982,1299768,1116860,701342,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_119_nsbRa_S117,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,9546.0,5135250,2214941,43.132,265474,0.902955,84.643,1.81,4820088,4819766,4079848,2247942,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_120_nsbRa_S118,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,6859.0,4385120,597262,13.62,2530660,1.0,80.553,2.37,1843412,1843322,1484918,626014,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_121_wbldRa_S119,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,3025.0,227060,7802,3.436,8702,1.0,75.171,4.44,103300,102950,77652,17504,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_122_wbldRa_S120,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,2108.0,52752,1048,1.987,872,1.0,66.667,1.13,15054,14506,10036,8854,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_123_wbldRa_S121,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,3237.0,62258,84,0.135,960,1.0,67.461,1.1,10824,10506,7302,6650,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_124_wbldRa_S122,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,3056.0,53690,12,0.022,84,1.0,74.693,1.14,18216,17506,13606,11926,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_125_wbldRa_S123,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,3495.0,81242,3818,4.7,1204,1.0,65.733,2.89,48536,47898,31904,11048,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_126_wbldRa_S124,Vida Ahyong,2019-07-28 18:46:04 -0700,COMPLETE,2868.0,47258,590,1.248,370,1.0,64.359,1.17,18866,18180,12142,10364,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_127_wbldRa_S125,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,3071.0,63336,2652,4.187,988,1.0,70.594,2.04,26906,26340,18994,9308,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_128_wbldRa_S126,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,3206.0,11619690,15906,0.137,3446,1.0,57.101,11.92,817980,816970,467078,39172,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_129_wbldRa_S127,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,2541.0,110362,32,0.029,252,1.0,70.492,1.15,22502,21744,15862,13794,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_130_wbldRa_S128,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,2889.0,157736,18,0.011,222,1.0,74.209,1.3,33988,33116,25222,19406,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_131_wbldRa_S129,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,2889.0,80100,90,0.112,594,1.0,72.157,1.11,17814,17408,12854,11530,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_132_wbldRa_S130,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,3197.0,90832,280,0.308,1248,1.0,68.199,1.13,19182,18418,13082,11608,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_133_wbldRa_S131,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,3210.0,115966,44,0.038,162,1.0,72.935,1.15,21600,21160,15754,13690,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_134_wbldRa_S132,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,3038.0,117420,2510,2.138,6910,1.0,67.965,1.49,25116,24674,17070,11420,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_135_wbldRa_S133,Vida Ahyong,2019-07-28 18:46:05 -0700,COMPLETE,2854.0,93974,32,0.034,310,1.0,68.47,1.11,14120,13820,9668,8728,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_136_wbldRa_S134,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,2877.0,88864,4224,4.753,4,1.0,80.184,11.14,82014,81820,65762,5904,whole blood,RNA,"Toamasina, Madagascar",Human,""
RR034H_137_wbldRa_S135,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,3358.0,271012,12756,4.707,522,1.0,78.694,10.34,254028,252488,199904,19328,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_138_wbldRa_S136,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,3190.0,307222,14360,4.674,84,1.0,79.645,13.21,300186,299916,239084,18102,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_139_wbldRa_S137,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,3208.0,33636,202,0.601,206,1.0,67.49,1.48,21938,20204,14806,9972,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_140_wbldRa_S138,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,3238.0,58764,3148,5.357,376,1.0,73.669,1.12,23850,22746,17570,15642,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_141_wbldRa_S139,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,3195.0,54734,590,1.078,648,1.0,69.886,1.11,13502,13044,9436,8472,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_142_wbldRa_S140,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,3225.0,79304,858,1.082,616,1.0,68.647,1.14,26702,25560,18330,16032,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_143_wbldRa_S141,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,2843.0,75826,1828,2.411,766,1.0,67.544,1.2,28494,27270,19246,16096,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_144_wbldRa_S142,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,3366.0,103980,24058,23.137,152,1.0,83.539,1.15,68416,67902,57154,49828,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_145_wbldRa_S143,Vida Ahyong,2019-07-28 18:46:06 -0700,COMPLETE,3537.0,2395578,14620,0.61,1558,1.0,64.978,12.49,420368,419816,273146,21870,whole blood,RNA,"Toamasina, Madagascar",Human,""
RR034H_146_wbldRa_S144,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,3457.0,2741778,6402,0.233,29906,1.0,53.137,2.97,173280,172704,92076,30950,whole blood,RNA,"Toamasina, Madagascar",Human,""
RR034H_147_wbldRa_S145,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,2803.0,609100,1886,0.31,252372,1.0,57.886,1.16,26818,25742,15524,13332,whole blood,RNA,"Toamasina, Madagascar",Human,""
RR034H_148_wbldRa_S146,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,3430.0,2956002,6846,0.232,2599852,1.0,50.081,4.02,120034,119718,60114,14950,whole blood,RNA,"Toamasina, Madagascar",Human,""
RR034H_149_wbldRa_S147,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,3407.0,1661372,1502,0.09,186190,1.0,54.022,1.19,108278,107340,58494,49228,whole blood,RNA,"Toamasina, Madagascar",Human,""
RR034H_150_wbldRa_S148,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,3117.0,2522826,6816,0.27,1460724,1.0,52.478,1.71,107028,105998,56166,32858,whole blood,RNA,"Antsiranana, Madagascar",Human,""
RR034H_151_wbldRa_S149,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,2958.0,585830,112,0.019,18472,1.0,67.53,1.14,38004,37406,25664,22500,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_152_wbldRa_S150,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,3137.0,458958,314,0.068,106456,1.0,46.479,2.14,27634,26976,12844,5988,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_153_wbldRa_S151,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,3144.0,319186,10,0.003,2382,1.0,71.169,1.26,34338,33792,24438,19336,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_154_wbldRa_S152,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,2805.0,557046,96,0.017,2714,1.0,47.89,1.07,199508,198820,95544,89316,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_155_wbldRa_S153,Vida Ahyong,2019-07-28 18:46:07 -0700,COMPLETE,3087.0,1781200,6198,0.348,1118854,1.0,41.215,1.25,133188,131408,54894,43954,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_156_wbldRa_S154,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE,3647.0,1780546,261764,14.701,14046,1.0,84.5,1.84,1469282,1468880,1241544,675452,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_157_wbldRa_S155,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE,3414.0,156136,6,0.004,24,1.0,75.185,1.12,18110,17774,13616,12130,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_158_wbldRa_S156,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE,2779.0,253696,4,0.002,86,1.0,74.074,1.17,22742,22436,16846,14404,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_159_wbldRa_S157,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE,2827.0,233746,4974,2.128,160,1.0,73.256,1.17,42140,41800,30870,26280,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_160_wbldRa_S158,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE,3427.0,181284,6,0.003,330,1.0,68.554,1.15,21968,21662,15060,13140,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_161_wbldRa_S159,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE,2797.0,308144,21694,7.04,100,1.0,81.851,1.25,98308,97912,80466,64498,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_162_wbldRa_S160,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE,3817.0,6276624,31666,0.505,5568046,1.0,57.973,3.16,297024,296756,172194,54408,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_163_wbldRa_S161,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE - ISSUE,3805.0,75092,0,0.0,20,,75.407,1.13,7620,7488,5746,5066,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_164_wbldRa_S162,Vida Ahyong,2019-07-28 18:46:08 -0700,COMPLETE,3136.0,225242,4,0.002,42,1.0,74.844,1.17,21164,20776,15840,13512,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_165_wbldRa_S163,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3126.0,275682,4,0.001,118,1.0,75.145,1.26,41730,41132,31358,24876,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_166_wbldRa_S164,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3130.0,165324,8,0.005,64,1.0,74.063,1.16,19362,19050,14340,12340,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_167_wbldRa_S165,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3044.0,272006,8,0.003,64,1.0,74.694,1.18,26776,26272,20000,16948,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_168_wbldRa_S166,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3082.0,235474,16,0.007,548,1.0,71.663,1.35,40294,39570,28876,21374,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_169_wbldRa_S167,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3180.0,199290,330,0.166,7614,1.0,70.801,1.45,31056,30304,21988,15192,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_170_wbldRa_S168,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3222.0,190946,30,0.016,1138,1.0,66.925,1.28,27126,26774,18154,14138,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_171_wbldRa_S169,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3040.0,218352,2,0.001,112,1.0,71.693,1.14,43388,41902,31106,27190,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_172_wbldRa_S170,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3044.0,190530,8,0.004,304,1.0,72.964,1.19,32926,32020,24024,20164,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_173_wbldRa_S177,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3557.0,314030,29670,9.448,48,1.0,83.461,1.36,131692,131368,109912,80860,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_174_wbldRa_S171,Vida Ahyong,2019-07-28 18:46:09 -0700,COMPLETE,3859.0,1469104,242414,16.501,48,1.0,84.778,2.05,1211442,1210882,1027034,499924,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_175_wbldRa_S172,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3062.0,259832,96,0.037,1736,1.0,70.611,1.31,39382,38730,27808,21202,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_176_wbldRa_S173,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3554.0,749516,16,0.002,350,1.0,70.783,1.22,66748,65966,47246,38860,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_177_wbldRa_S174,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3228.0,246248,8,0.003,180,1.0,73.481,1.16,23342,22908,17152,14762,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_178_wbldRa_S175,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3318.0,198802,4,0.002,108,1.0,73.162,1.15,17602,17398,12878,11236,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_179_wbldRa_S176,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3229.0,355080,14,0.004,94,1.0,67.178,1.17,32734,32398,21990,18754,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_180_wbldRa_S178,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3204.0,166108,4,0.002,178,1.0,72.935,1.14,19420,19234,14164,12454,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_181_wbldRa_S179,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3048.0,270928,10,0.004,420,1.0,74.961,1.23,32996,32440,24734,20136,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_182_wbldRa_S180,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3212.0,274682,2,0.001,192,1.0,69.234,1.14,22024,21666,15248,13398,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_183_wbldRa_S181,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3179.0,262526,4,0.002,126,1.0,71.718,1.13,21752,21534,15600,13822,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_184_wbldRa_S182,Vida Ahyong,2019-07-28 18:46:10 -0700,COMPLETE,3211.0,150972,10,0.007,178,1.0,72.276,1.1,11600,11518,8384,7592,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_185_wbldRa_S183,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3219.0,115428,6,0.005,400,1.0,71.849,1.32,23310,22888,16748,12732,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_186_wbldRa_S184,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3208.0,144246,4,0.003,198,1.0,73.812,1.22,26256,25694,19380,15828,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_187_wbldRa_S185,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3048.0,193454,4,0.002,34,1.0,72.122,1.12,57996,57076,41828,37198,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_188_wbldRa_S186,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3084.0,283542,2,0.001,112,1.0,74.558,1.17,24196,23870,18040,15456,whole blood,RNA,"Antananarivo, Madagascar",Human,""
RR034H_189_wbldRa_S187,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3196.0,84442,112,0.133,1346,1.0,63.487,1.37,19182,18862,12178,8900,whole blood,RNA,"Antsiranana, Madagascar",Human,""
RR034H_190_wbldRa_S188,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3364.0,335594,6,0.002,302,1.0,72.078,1.17,30958,30598,22314,19056,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_191_wbldRa_S189,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3645.0,1305838,24246,1.857,933658,1.0,48.735,1.63,118588,118330,57794,35492,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_192_wbldRa_S190,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3233.0,250848,20,0.008,106,1.0,74.381,1.19,29900,29482,22240,18758,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_193_wbldRa_S191,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3206.0,118446,2,0.002,110,1.0,73.082,1.16,16814,16486,12288,10550,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_194_wbldRa_S192,Vida Ahyong,2019-07-28 18:46:11 -0700,COMPLETE,3234.0,604116,514,0.085,42638,1.0,64.482,1.3,28476,27988,18362,14088,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_195_wbldRa_S193,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE,3210.0,143516,46,0.032,1138,1.0,71.76,1.26,18548,18322,13310,10590,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_196_wbldRa_S194,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE,3331.0,230742,46,0.02,1452,1.0,80.92,1.42,42022,41240,34004,24016,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_197_wbldRa_S195,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE,3073.0,272572,6,0.002,182,1.0,70.895,1.15,24216,23960,17168,14956,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_198_wbldRa_S196,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE,3204.0,145428,16,0.011,1178,1.0,71.982,1.47,30024,29430,21612,14686,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_199_wbldRa_S197,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE - ISSUE,2417.0,177170,0,0.0,150,,74.099,1.22,29760,29250,22052,18106,whole blood,RNA,"Toliara, Madagascar",Human,""
RR034H_200_wbldRa_S198,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE,3564.0,135760,2,0.001,176,1.0,71.037,1.18,21876,21426,15540,13194,whole blood,RNA,"Toliara, Madagascar",Human,""
RR034H_201_wbldRa_S199,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE - ISSUE,1228.0,330196,0,0.0,116,,74.135,1.18,37796,37464,28020,23814,whole blood,RNA,"Toliara, Madagascar",Human,""
RR034H_202_serRa_S200,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE,3546.0,4738578,9236,0.195,4549734,1.0,46.029,4.65,178054,177966,81956,17640,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_203_serRa_S201,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE,3208.0,904250,4474,0.495,844088,1.0,57.325,4.5,57532,57484,32980,7326,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_204_serRa_S202,Vida Ahyong,2019-07-28 18:46:12 -0700,COMPLETE,3425.0,3013736,9436,0.313,2887012,1.0,46.649,3.09,118408,118366,55236,17864,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_205_serRa_S203,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3094.0,5113146,9128,0.179,2519498,1.0,47.856,2.96,230322,230200,110224,37296,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_206_serRa_S204,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3211.0,5533658,10726,0.194,5302464,1.0,44.586,5.0,217832,217522,97122,19406,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_207_serRa_S205,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3473.0,2398688,5790,0.241,2237458,1.0,49.202,4.02,89110,88972,43844,10920,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_208_serRa_S206,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3099.0,3075704,5728,0.186,2865380,1.0,34.309,4.51,201296,200588,69062,15312,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_209_serRa_S207,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3426.0,3405434,9056,0.266,2921942,1.0,56.111,4.78,144816,144662,81258,16992,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_210_serRa_S208,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3450.0,164002,8406,5.126,7378,1.0,78.577,9.43,145582,144844,114394,12136,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_211_serRa_S209,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3204.0,270954,8,0.003,160,1.0,75.662,1.27,37382,36316,28284,22318,whole blood,RNA,"Toliara, Madagascar",Human,""
RR034H_212_serRa_S210,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3410.0,8714834,7658,0.088,1535796,1.0,50.834,4.1,512480,512298,260514,63588,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_213_serRa_S211,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3361.0,5583390,11012,0.197,5310830,1.0,46.17,4.13,187796,187668,86706,21002,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_214_serRa_S212,Vida Ahyong,2019-07-28 18:46:13 -0700,COMPLETE,3093.0,1589942,4556,0.287,1413222,1.0,49.742,4.8,85814,85608,42686,8884,serum,RNA,"Antsiranana, Madagascar",Human,""
RR034H_215_serRa_S213,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3415.0,4433972,10720,0.242,4258444,1.0,46.543,3.81,166376,166298,77436,20298,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_216_serRa_S214,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3330.0,135400,6446,4.761,244,1.0,80.816,12.13,131232,130698,106056,8742,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_217_serRa_S215,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3205.0,218586,8,0.004,332,1.0,74.742,1.18,27880,27058,20838,17728,whole blood,RNA,"Toliara, Madagascar",Human,""
RR034H_218_serRa_S216,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3440.0,5595648,12426,0.222,5344362,1.0,44.889,4.43,240538,240032,107974,24364,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_219_serRa_S217,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3548.0,4162248,10092,0.242,3964892,1.0,44.376,4.3,185386,185288,82266,19122,water,RNA,"Antananarivo, Madagascar",Human,""
RR034H_220_serRa_S218,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3241.0,5486922,13980,0.255,5206112,1.0,41.469,3.65,231306,230886,95920,26258,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_221_serRa_S219,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3426.0,7528286,14962,0.199,7194704,1.0,40.323,4.15,297002,296830,119760,28876,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_222_serRa_S220,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3112.0,3651692,9378,0.257,3473542,1.0,40.768,3.62,164162,164036,66926,18496,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_223_serRa_S221,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3259.0,8615080,17364,0.202,7692636,1.0,39.531,3.88,366552,366298,144900,37348,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_224_serRa_S222,Vida Ahyong,2019-07-28 18:46:14 -0700,COMPLETE,3258.0,11419170,22996,0.201,10885950,1.0,44.696,4.79,509918,509620,227914,47540,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_225_serRa_S223,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,3230.0,4406768,14144,0.321,4200360,1.0,41.455,2.77,198028,197772,82092,29660,serum,RNA,"Toamasina, Madagascar",Human,""
